"","Country","Year","Status","Life.expectancy..men.","Life.expectancy.women.","Adult.Mortality..men.","Adult.Mortality..women.","Infant.deaths","Alcohol","Percentage.expenditure","Hepatitis.B.men.","Hepatitis.B.women.","Measles","BMI","Under.five.deaths","Polio","Total.expenditure","Diphtheria","HIV.AIDS","GDP","Population","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling","country_id","Inflation..CPI...","GDP..Current.USD.","Unemployment.Rate....","Interest.Rate..Real....","Inflation..GDP.Deflator....","GDP.Growth....Annual.","Current.Account.Balance....GDP.","Government.Expense....of.GDP.","Government.Revenue....of.GDP.","Tax.Revenue....of.GDP.","Gross.National.Income..USD.","Public.Debt....of.GDP.","above_below_average"
"1","albania",2015,FALSE,78,66,97,68,0,4.6,364.9752287,59,29,0,58,0,99,6,99,0.1,3954.22783,28873,1.2,1.3,0.762,14.2,"al",3.50120835492657,11386853113.0189,17.193,7.27249242163997,0.563991350160876,2.21872637517804,-8.60488046763521,24.4461757489854,24.738150200759,18.5157898553099,11521811393.6203,79.8644181475793,FALSE
"2","albania",2014,FALSE,53,52,65,98,0,4.51,428.7490668,25,33,0,57.2,1,98,5.88,98,0.1,4575.763787,288914,1.2,1.3,0.761,14.2,"al",1.62586504402604,13228147516.1168,18.055,6.32455753333484,1.54991706986272,1.77444885260394,-10.7753990397848,24.3826654387392,24.5250980968319,18.3019361358269,13349419700.4171,73.3202274771466,FALSE
"3","albania",2013,FALSE,55,79,66,96,0,4.76,430.8769785,34,25,0,56.5,1,99,5.66,99,0.1,4414.72314,289592,1.3,1.4,0.759,14.2,"al",1.93762080205223,12776224496.9718,15.866,9.51039749125922,0.288745964127756,1.00201754071108,-9.27418778932724,24.1607729474324,22.3049495093896,16.5032706123389,12996543353.0861,70.5807697920008,FALSE
"4","albania",2012,FALSE,54,77,69,54,0,5.14,412.4433563,32,71,9,55.8,1,99,5.59,99,0.1,4247.61438,2941,1.3,1.4,0.752,14.2,"al",2.03159268395296,12319834195.331,13.376,9.73611207346728,1.04271460643407,1.4172427999078,-10.2001762330966,23.007590723666,23.0507101156878,17.4832335567459,12228069196.1144,63.6691526405469,FALSE
"5","albania",2011,FALSE,79,64,56,79,0,5.37,437.0621,66,35,28,55.1,1,99,5.71,99,0.1,4437.17868,295195,1.4,1.5,0.738,13.3,"al",3.42807130141503,12890760315.146,13.481,9.88846223555399,2.31474379699794,2.54540614450104,-12.9331014515688,23.0111069763437,23.9003193851567,18.0220132797796,12894099798.9481,69.6376739165201,FALSE
"6","australia",2014,TRUE,73,82,72,85,1,9.71,10769.36305,35,29,340,66.1,1,92,9.42,92,0.1,62214.6912,2346694,0.6,0.6,0.936,20.4,"au",2.48792270531404,1468265356427.76,6.078,4.4816194821113,1.40539601622476,2.59528411594042,-3.09266163288854,26.2576336510283,24.3633439690171,21.897878678174,1429834007640,41.7223304965257,TRUE
"7","australia",2013,TRUE,64,65,53,55,1,9.87,11734.85381,65,64,158,65.5,1,91,9.36,91,0.1,67792.3386,23117353,0.6,0.6,0.933,20.3,"au",2.4498886414254,1577123329410.88,5.663,6.35316102456067,-0.163600551424906,2.60219339436559,-3.25799888383101,25.8800823016892,24.4530730105492,21.9443416287694,1537801711446.54,37.5600008066242,TRUE
"8","australia",2012,TRUE,65,72,62,84,1,10.03,11714.99858,31,21,199,65,1,92,9.36,92,0.1,67677.63477,22728254,0.6,0.6,0.93,20.1,"au",1.76278015613196,1547532281116.4,5.225,5.07761464495177,1.8056989221342,3.91670942454073,-4.44404469042498,26.1190161107402,23.4348034100556,21.0990859163958,1500404222891.8,39.441661369273,TRUE
"9","australia",2011,TRUE,82,68,88,88,1,10.3,10986.26527,58,37,190,64.4,1,92,9.2,92,0.1,62245.129,223424,0.6,0.6,0.927,19.8,"au",3.3038501560874,1398610616772.97,5.083,1.44585192040902,6.20197668065047,2.40708018291988,-3.26400930085158,25.9965923165691,22.7076209026202,20.3225244773041,1342423020459.19,30.0953996273683,TRUE
"10","australia",2010,TRUE,83,72,100,89,1,10.52,8875.786493,24,53,70,63.9,1,92,9.2,92,0.1,51874.848,223175,0.7,0.6,0.927,19.5,"au",2.91834002677376,1148838233480.72,5.214,6.05552716660896,1.15377249328591,2.21998026536549,-4.00506862277956,26.7049854253781,23.2984646429333,20.4779954643102,1104203146194.09,28.6633975352712,TRUE
"11","azerbaijan",2010,FALSE,59,79,85,61,5,1.98,246.5686008,37,27,0,48,6,85,5.33,81,0.1,5842.85784,954332,2.8,2.9,0.737,11.7,"az",5.72687224669605,52909294791.9262,5.63,6.30070170030242,13.5458167908374,5.04894451349574,28.4268313519369,20.8724832214765,46.8289179324149,12.1577769928176,49741091452.7785,6.38557579182856,FALSE
"12","belarus",2014,FALSE,62,77,72,89,0,13.94,1147.1114,31,52,64,61.7,0,97,5.69,97,0.1,8318.429294,9474511,1.9,2,0.796,15.7,"by",18.1195543526734,78812805039.0743,5.902,0.46489041631188,18.1922024446735,1.65112468524535,-6.63305918043161,27.4104920512789,27.9219799575572,12.6977670733069,76448782777.9462,24.5488085208305,FALSE
"13","belarus",2013,FALSE,77,68,100,77,0,14.66,1109.854619,53,35,16,61.1,1,98,6.7,98,0.1,7978.825443,9465997,2,2,0.796,15.7,"by",18.3122610377874,75527558966.4473,5.937,-1.75623802459026,21.263000253545,0.998719278658683,-10.0192566839897,28.2546964798114,28.7220108739005,13.3549628478795,72875339440.6563,23.8372955552391,FALSE
"14","belarus",2012,FALSE,84,79,83,78,0,16.35,91.70962117,60,40,10,6.5,1,98,5.1,98,0.1,694.243915,9464495,2,2.1,0.793,15.6,"by",59.2197360232517,65685890438.8922,5.946,-31.8132103218448,75.2416666493216,1.707852569854,-2.8350076212066,27.6224227639515,29.0395636217814,14.6629750334495,64215516438.9641,24.4293134230567,FALSE
"15","belarus",2011,FALSE,52,72,83,58,0,17.31,846.9113071,45,57,50,59.9,1,98,4.92,98,0.1,6519.71753,9473172,2,2.1,0.787,15.5,"by",53.2286983118173,61762382327.9319,6.022,-33.4890247335404,70.7612909673781,5.5499747229649,-8.18054584289412,25.4492994190304,28.0633696235903,14.5090725642403,61079871266.8078,39.4168108447656,FALSE
"16","belarus",2010,FALSE,82,75,64,84,0,14.44,8.49409518,42,25,1,59.3,1,99,5.55,98,0.1,63.38877,949583,2,2.2,0.78,15.5,"by",7.73574804312508,57231904542.8755,6.045,-1.90734444484849,11.3403098820796,7.75001706649184,-14.4678043936086,30.2074804270194,30.3154229945244,16.321438373621,56069265840.9742,18.905245726907,FALSE
"17","belize",2014,FALSE,68,68,70,54,0,6.58,670.0920883,28,59,0,5.1,0,95,5.79,95,0.2,4852.223666,351694,3.4,3.4,0.705,12.8,"bz",1.20139964481058,2138250000,8.244,9.60055452308312,1.11425408928791,4.03084557750317,-6.35386054940414,19.4393247814802,22.352569182625,19.8624877918859,2000450700,61.0306091429908,FALSE
"18","belize",2013,FALSE,77,81,79,54,0,6.56,629.2018591,70,71,0,49.3,0,95,5.79,95,0.2,4688.538443,344181,3.4,3.4,0.706,12.9,"bz",0.50974776898322,2032750000,8.349,9.46708889782274,1.92028288137456,4.45432600686063,-3.57083937981071,18.8861415860288,21.3904358536123,18.4937251528717,1913514450,61.2077235272414,FALSE
"19","belize",2012,FALSE,79,81,59,69,0,6.66,582.8027185,45,58,0,48.5,0,98,5.45,98,0.1,4673.63848,33671,3.5,3.4,0.702,12.5,"bz",1.30058074547858,1909400000,8.379,11.6129282210648,0.741764529847956,3.73777578617181,-1.7342159764007,18.3977172423274,20.54872777677,18.4367889609301,1789236950,61.3845710694459,FALSE
"20","belize",2011,FALSE,66,72,76,97,0,6.64,605.6286892,75,37,0,47.8,0,95,5.61,95,0.5,4516.24675,329192,3.5,3.4,0.7,12.4,"bz",1.602056156402,1827050000,8.43,8.05091422816737,4.91658876106118,-0.244543781225346,-1.0918621898446,19.953011685504,21.4717350920883,18.3662735009989,1729864700,62.5666511589721,FALSE
"21","belize",2010,FALSE,56,71,52,73,0,6.76,569.9527122,67,33,0,47,0,96,5.85,96,0.2,4344.15177,32168,3.5,3.4,0.7,12.4,"bz",0.917977378808888,1745700000,8.416,11.3789368863389,2.2485368571529,1.11403578740261,-2.61996122117629,19.7578048920204,21.8332781978576,18.8848026579596,1607200762.38903,64.1597353497165,FALSE
"22","bhutan",2014,FALSE,78,55,94,91,0,0.01,209.3921344,63,52,0,23.6,1,98,3.57,99,0.5,2522.7968,776448,15.7,16.2,0.596,12.5,"bt",8.27106093949328,2089079570.67546,2.63,7.85338264053381,5.72222883359687,5.88108549131117,-23.4688052609704,17.0322760391694,18.1881641669409,12.5052991173928,1954089382.70764,84.9990711282336,FALSE
"23","bhutan",2013,FALSE,68,83,67,86,0,0.01,19.79057439,27,33,0,22.7,1,97,3.83,97,0.6,235.882889,764961,15.9,16.5,0.589,12.6,"bt",8.77638345268213,1943696951.76613,2.87,7.41622267629402,6.16413159831512,1.73634039690423,-24.293493246944,18.6357911028925,18.4820508468626,13.3025947419404,1820262695.86424,88.9492144773016,FALSE
"24","bhutan",2012,FALSE,65,83,53,62,0,0.01,188.7373664,75,45,1,21.9,1,97,3.7,97,0.6,2422.816,752967,16.1,16.7,0.581,12.3,"bt",10.919656944683,1973387228.03924,2.05,4.93682331879992,8.63679344825027,5.164820108181,-19.1060720871467,18.8856610723205,19.24478172715,13.5887280693239,1831270593.61742,67.0148156204095,FALSE
"25","bhutan",2011,FALSE,62,81,67,100,0,0.23,289.8524057,55,62,10,21.1,1,95,4.73,95,0.5,2458.45976,7451,16.3,17,0.572,11.9,"bt",8.848985699468,1977728659.25621,3.23,4.70222665602483,8.88020593346201,8.48925846151491,-26.6070201962457,20.1181323714886,18.8323281167266,12.4317424959417,1863823017.18908,57.5496480740985,FALSE
"26","bhutan",2010,FALSE,76,53,75,60,1,0.28,244.0391949,31,51,21,2.3,1,92,5.17,91,0.5,2178.921383,727641,16.6,17.3,0,11.4,"bt",7.03638316073019,1708880730.87271,3.32,5.16003047320512,8.32696239631917,11.9318739003886,-18.9069431386518,20.1367804581225,19.9289922086598,12.1941395903525,1620906892.01776,50.9195301530263,FALSE
"27","bosnia and herzegovina",2014,FALSE,62,57,79,74,0,4.03,732.8662491,25,73,3000,55.3,0,86,9.57,86,0.1,5193.94932,35662,2.4,2.4,0.742,14.2,"ba",-0.897194054194333,18558733564.4692,27.517,5.58529958954557,1.00033721930362,1.15385109200403,-7.35085841133572,39.9462729767212,39.4168546567092,19.777901772831,18710534545.2251,53.5008608706996,FALSE
"28","bosnia and herzegovina",2013,FALSE,84,67,99,96,0,4.12,75.61062911,45,38,0,54.7,0,87,9.46,89,0.1,535.86555,364999,2.4,2.4,0.735,14.2,"ba",-0.0930456838317588,18179108530.5261,27.49,7.27647830344402,-0.224122003175367,2.3498566632458,-5.3258583032982,37.3655580614393,38.4486786204093,19.751544642443,18421211485.5494,49.6097513913455,FALSE
"29","bosnia and herzegovina",2012,FALSE,85,75,81,96,0,4.61,693.8226461,45,69,22,54.2,0,87,9.94,92,0.1,4716.673325,36482,2.5,2.5,0.728,13.9,"ba",2.05267452001717,17226735995.6905,28.01,6.48156475456032,0.795773347301477,-0.821836474216894,-8.62595020271337,39.0326697243166,39.4812765699371,20.4775399413527,17361422536.9693,49.0902635279898,FALSE
"30","bosnia and herzegovina",2011,FALSE,65,70,95,97,0,4.64,7.959131146,38,54,10,53.7,0,89,9.71,88,0.1,55.156834,3688865,2.6,2.5,0.711,13.4,"ba",3.67125,18644233537.1093,27.582,4.8804211518629,2.43252790824482,0.959511247241267,-9.47919944225313,38.1186179452594,38.8356040603384,20.3056652821355,18794204715.634,45.8346942869169,FALSE
"31","botswana",2014,FALSE,58,77,82,59,2,0.01,662.802194,58,27,1,37.3,2,96,5.41,95,2.3,7497.762376,2168573,6.7,6.4,0.697,12.6,"bw",4.40225309243427,15470088500.7414,18.514,-0.551076776805184,9.60400220258751,5.69477738185952,11.0750306448499,29.1324048731669,39.9417118719375,27.0928299660417,14998439776.0137,18.3257336074772,FALSE
"32","botswana",2013,FALSE,64,76,54,80,2,0.01,1.117811275,26,40,1,36.8,2,96,5.84,95,2.8,77.625783,212857,7,6.7,0.693,12.6,"bw",5.88460707056817,14271738933.2042,18.203,8.52647640000744,1.5321209980109,11.1028237779771,4.53073148351166,29.48597480927,40.5085278342788,26.7403906303594,13621161024.7427,19.0163812887175,FALSE
"33","botswana",2012,FALSE,78,84,57,97,2,0.01,12.83447357,37,56,7,36.2,3,96,6.27,95,4.4,729.231453,289315,7.3,7,0.687,12.5,"bw",7.53690261091916,13907464500.1489,17.952,7.75460206016061,3.01184160842378,-0.170900761456892,-5.90199267050561,31.5200789767544,38.6639085967945,28.0365776616041,14164563194.2831,20.6231807851092,FALSE
"34","botswana",2011,FALSE,61,85,77,90,2,5.76,668.9562854,51,19,8,35.7,3,96,5.25,95,5.5,7645.21469,251339,7.7,7.4,0.678,12.4,"bw",8.45987233408583,15110643612.1729,18.054,-1.46761902810706,12.6533215833519,6.83852974803483,-0.87298477500224,29.7867605507382,36.6273712506881,24.0453261607064,15016050301.2986,21.0743622822987,FALSE
"35","botswana",2010,FALSE,78,85,72,84,2,5.99,547.0386679,18,38,853,35.2,3,96,5.64,95,6.2,6346.15624,214866,8,7.8,0.669,12.3,"bw",6.94887658743103,12637273429.1339,17.86,3.50591061310511,7.6830614533247,10.1222091179732,-5.88840225663454,33.5156076335395,36.7014523809306,23.8833642056949,12147261071.9608,21.8862970525722,FALSE
"36","brazil",2014,FALSE,74,74,66,59,44,7.32,83.16465362,55,44,876,55.3,49,96,8.32,93,0.1,1226.61731,24213133,2.7,2.7,0.747,15.2,"br",6.32904015516139,2456043727198.85,6.755,22.403672441435,7.84670974352809,0.503955740242247,-4.4988303801852,32.0693994463665,27.3715145442707,13.4900745188201,2410276964680.96,58.4572711058609,TRUE
"37","brazil",2013,FALSE,79,58,58,58,46,7.24,916.270845,40,57,220,54.5,52,96,8.48,97,0.1,12216.9446,2248632,2.8,2.7,0.734,14.2,"br",6.20431066640101,2472819535742.73,7.071,18.4988444166435,7.50456453292993,3.00482266944432,-3.57422079596048,30.8363376486568,28.6511222344884,14.1253057430265,2438459283730.87,57.228409380258,TRUE
"38","brazil",2012,FALSE,73,60,65,90,49,7.55,843.1946259,25,64,2,53.6,54,96,8.26,95,0.1,12291.46685,256983,2.8,2.8,0.73,14.2,"br",5.40349914036997,2465227803011.57,7.251,26.5820905307869,7.9431269413538,1.92117598576537,-3.75941611656142,30.7940989613241,29.6660502664772,14.332411090207,2403719409196.5,59.8494899958247,TRUE
"39","brazil",2011,FALSE,54,71,89,57,51,7.58,1084.999766,61,19,43,52.8,57,98,8.9,99,0.1,13167.47289,198686688,2.9,2.8,0.724,14,"br",6.6364496221309,2616156223977.47,7.578,32.8334595068102,8.3185922188201,3.97442307944702,-3.19461831898174,31.3064734506666,29.1008030572235,14.8512987831907,2548928943603.92,59.3416583014604,TRUE
"40","brazil",2010,FALSE,50,65,87,63,54,7.52,1111.191325,71,51,68,52,61,99,8.27,99,0.1,11224.1548,196796269,2.9,2.9,0.716,13.8,"br",5.03872690108075,2208837745214.23,8.422,29.1158055214655,8.42333833667878,7.52822581815364,-3.92594604434557,30.7014530840445,28.9964370674468,14.2495759565686,2140606260704.28,61.3187804611479,TRUE
"41","bulgaria",2014,TRUE,81,68,61,67,1,12.03,153.1400362,61,32,0,65.1,1,88,8.44,88,0.1,7853.335191,7223938,1.9,1.9,0.787,14.8,"bg",-1.4181838026484,57157782909.9307,11.424,6.83027957403434,1.34078287386647,0.949448985090484,2.18953559128089,37.9434073102519,33.3619385953896,19.5666207727537,56529038853.4167,32.502485392112,FALSE
"42","bulgaria",2013,TRUE,67,75,100,53,1,12.06,149.659879,58,69,14,64.5,1,95,7.93,95,0.1,7674.86559,7265115,1.9,1.9,0.781,14.4,"bg",0.890093540913002,55852123989.9504,12.941,8.965006039723,0.0719518095394278,-0.542751603030155,1.2150656976306,32.9223988647865,32.5085559053269,19.6862822353302,54615902084.6065,22.0539393235951,FALSE
"43","bulgaria",2012,TRUE,62,74,63,68,1,10.99,851.450672,40,33,1,63.9,1,95,7.11,95,0.1,7378.25539,735888,1.9,1.9,0.778,14.3,"bg",2.95456829831022,54288135058.7926,12.27,8.50741184532138,1.11217885256747,0.748814896796574,-0.973730262473593,30.9132693281019,30.577245009089,18.3853352646645,53568146883.006,21.7962168477584,FALSE
"44","bulgaria",2011,TRUE,57,63,51,63,1,10.67,875.1495189,25,21,157,63.3,1,95,6.88,95,0.1,7813.83499,7348328,2,2,0.775,14.2,"bg",4.21990346601873,57737040780.0157,11.26,4.25643907358051,6.11283035981589,2.09017527015538,0.47195006241871,29.8496236412362,29.124458209097,17.8827151475731,55929518183.7592,19.4817178682192,FALSE
"45","bulgaria",2010,TRUE,54,67,92,76,1,10.8,766.4454884,64,25,22004,62.7,1,94,7.24,94,0.1,6843.263289,7395599,2,2,0.77,13.9,"bg",2.43899060504113,50760929302.5147,10.279,10.3015197969987,0.764129878916592,1.55535963462032,-1.9003198193068,31.6315388880341,29.8260330124885,17.8714315570459,49698376601.3692,20.5891365271305,FALSE
"46","canada",2014,FALSE,54,59,78,82,2,8.1,102.1902168,32,29,418,66.4,2,91,1.45,91,0.1,544.43376,35544564,0.5,0.5,0.912,15.9,"ca",1.90663590717861,1805749878439.94,7.023,1.03863897338225,1.94119897748668,2.87346677184995,-2.31892137730875,16.4020498301416,16.9792224861735,11.8083790792206,1776572160702.32,51.4827081297932,TRUE
"47","canada",2013,FALSE,58,71,52,84,2,8.2,9733.228019,69,27,83,65.8,2,91,1.67,91,0.1,52413.72116,35155451,0.5,0.5,0.909,15.9,"ca",0.938291897815317,1846597421834.98,7.143,1.23771669066581,1.74073790573416,2.32581357393478,-3.14687545091254,17.0848821579089,16.9526176646696,11.6235045990299,1818471075757.13,53.200869076551,TRUE
"48","canada",2012,FALSE,61,54,93,66,2,8.3,9748.636237,56,36,10,65.3,2,99,1.78,95,0.1,52496.69487,3475545,0.5,0.5,0.907,15.9,"ca",1.51567823124517,1828366481521.6,7.392,1.76011033894486,1.21844370738719,1.75566132540601,-3.53224767688727,17.5175199279774,16.9203236637378,11.6644273631038,1795919869603.49,55.7251649377054,TRUE
"49","canada",2011,FALSE,50,61,56,76,2,8.2,971.9280384,27,48,803,64.7,2,87,1.82,87,0.1,5282.2176,3434278,0.5,0.5,0.903,15.9,"ca",2.91213508872351,1793326630174.52,7.637,-0.236773175941093,3.24445517550211,3.13719438973661,-2.77400602599856,17.8502680006291,16.9254981361992,11.8039212812623,1759453773319.65,54.1193858391726,TRUE
"50","canada",2010,FALSE,56,76,50,71,2,8.4,8649.674911,34,74,99,64.1,2,88,11.2,89,0.1,47447.4762,345274,0.5,0.4,0.898,15.9,"ca",1.77687154092627,1617343367486.26,8.178,-0.237699890817205,2.84863776634425,3.09080637403602,-3.59618567149688,19.0847071449408,16.8961721345029,11.7328092981826,1585379875651.19,53.1497329605545,TRUE
"51","colombia",2014,FALSE,80,65,96,73,11,4.38,1435.487755,52,71,0,57.2,12,9,7.2,9,0.1,7913.383432,47791911,2.1,1.9,0.72,13.6,"co",2.89883787761738,381240864422.407,8.799,8.44294935194344,2.2356323764315,4.49903000110972,-5.19843119341792,30.1625917691368,23.4469943054822,15.6997483720014,370407849663.061,47.9761695160459,TRUE
"52","colombia",2013,FALSE,52,81,73,53,11,4.41,15.16255482,30,20,1,56.4,13,91,6.84,91,0.1,83.5863,47342981,2.1,1.9,0.712,13.3,"co",2.01699224310383,382093697077.685,9.246,8.90797441037777,1.90767643221162,5.13399351995672,-3.23615067105022,33.2851931387088,24.4985703542816,14.0221143464507,368881076786.015,67.1029119456429,TRUE
"53","colombia",2012,FALSE,83,64,61,71,11,4.44,1487.896562,59,61,1,55.7,13,91,6.93,91,0.1,7884.984429,46881475,2.1,1.9,0.707,13.2,"co",3.16930188840055,370691143018.039,9.959,8.65535095377731,3.61665506268449,3.91263576716115,-3.14008013112594,25.0329863002189,26.3354797473995,13.2269907142761,356514927997.962,65.227695883164,TRUE
"54","colombia",2011,FALSE,58,83,62,58,12,4.37,184.3073618,58,70,6,55,14,85,6.64,85,0.1,7227.73968,4646646,2.2,2,0.7,13,"co",3.4150334477625,334966134804.887,10.288,4.54296484242238,6.38680337285258,6.94789198173555,-2.90611447190462,24.2247402762094,23.4920085360318,14.5758811869672,320761717459.121,62.8601328222053,FALSE
"55","colombia",2010,FALSE,61,52,53,51,12,4.28,113.2436346,29,69,0,54.2,15,88,6.76,88,0.1,625.65544,4591897,2.2,2,0.695,12.8,"co",2.27200227892008,286498534094.963,11.153,5.3722240266131,3.80486029146383,4.49465897070922,-2.99583091222973,25.4043842590891,21.5744254310186,12.1421652023674,276539068640.164,72.4526699261111,FALSE
"56","croatia",2014,TRUE,78,50,88,84,0,12.14,1884.098811,49,70,0,63.1,0,95,7.8,95,0.1,13467.46827,4238389,1.5,1.5,0.82,15.1,"hr",-0.215196159576268,59612144078.4133,17.29,8.44277161510625,0.126544520072585,-0.5571501973061,0.393612117446996,42.1284735209224,36.531861434829,20.3809990230477,58743509682.7676,93.129209627066,FALSE
"57","croatia",2013,TRUE,62,50,91,50,0,12.39,1899.107385,58,71,0,62.5,0,96,7.83,96,0.1,13574.749,4255689,1.5,1.5,0.817,14.9,"hr",2.21658206429779,59852401272.3204,17.251,8.45183524140435,0.73288886582057,-0.125449826211494,-0.858964118871847,40.2770017829429,35.2230993483608,20.596871380544,58734779236.475,87.1295087439968,FALSE
